engine,suite,case,joins,broadcast_join,partitioned_join,runtime_filter_build,runtime_filter_probe,scan,agg,local_agg,global_agg,sort_topn,broadcast_exchange,shuffle_exchange,gather_exchange,iceberg_metrics,minmax,cost_header,max_est_rows
starrocks,ssb,q1.1,1,1,0,1,1,2,4,1,1,0,1,0,1,0,2,4,123500
starrocks,ssb,q1.2,1,1,0,1,1,2,4,1,1,0,1,0,1,0,2,4,39965
starrocks,ssb,q1.3,1,1,0,1,1,2,4,1,1,0,1,0,1,0,2,4,39390
starrocks,ssb,q2.1,3,3,0,3,1,4,4,1,1,1,3,1,2,0,2,7,5401054
starrocks,ssb,q2.2,3,3,0,3,1,4,4,1,1,1,3,1,2,0,2,7,5401054
starrocks,ssb,q2.3,3,3,0,3,1,4,4,1,1,1,3,1,2,0,2,7,5401054
starrocks,ssb,q3.1,3,3,0,3,1,4,4,1,1,1,3,1,2,0,3,7,5401054
starrocks,ssb,q3.2,3,3,0,3,1,4,4,1,1,1,3,1,2,0,3,7,5401054
starrocks,ssb,q3.3,3,3,0,3,1,4,4,1,1,1,3,1,2,0,3,7,5401054
starrocks,ssb,q3.4,3,3,0,3,1,4,4,1,1,1,3,1,2,0,3,7,5401054
starrocks,ssb,q4.1,4,4,0,4,1,5,4,1,1,1,4,1,2,0,3,8,5401054
starrocks,ssb,q4.2,4,4,0,4,1,5,4,1,1,1,4,1,2,0,4,8,5401054
starrocks,ssb,q4.3,4,4,0,4,1,5,4,1,1,1,4,1,2,0,4,8,5401054
starrocks,tpc-h,q1,0,0,0,0,0,2,4,1,1,1,0,1,2,1,1,4,1
starrocks,tpc-h,q10,3,2,1,3,2,4,4,1,1,1,2,3,2,0,2,8,3008795
starrocks,tpc-h,q11,5,4,0,4,4,6,8,2,2,1,5,1,3,0,2,10,720000
starrocks,tpc-h,q12,1,1,0,1,1,2,4,1,1,1,1,1,2,0,1,5,1350000
starrocks,tpc-h,q13,1,0,1,1,1,2,6,1,1,1,0,3,2,0,0,6,1125000
starrocks,tpc-h,q14,1,0,1,1,1,2,4,1,1,0,0,2,1,0,1,5,180000
starrocks,tpc-h,q15,2,1,0,2,3,3,12,3,3,1,1,3,3,0,2,8,71367
starrocks,tpc-h,q16,2,1,1,1,1,3,4,1,0,1,1,3,2,0,1,7,720000
starrocks,tpc-h,q17,1,0,1,1,1,2,4,1,1,1,0,2,1,0,1,5,5401094
starrocks,tpc-h,q18,3,1,1,3,3,4,8,2,2,2,1,5,2,0,0,9,5401094
starrocks,tpc-h,q19,1,1,0,1,1,2,4,1,1,0,1,0,1,0,2,4,3000608
starrocks,tpc-h,q2,4,4,0,4,3,5,0,0,0,2,4,1,2,0,2,8,648000
starrocks,tpc-h,q20,4,1,2,4,6,5,4,1,1,1,1,6,2,0,2,10,720000
starrocks,tpc-h,q21,5,2,1,4,7,6,4,1,1,1,2,5,2,0,2,10,5401094
starrocks,tpc-h,q22,2,0,1,1,1,3,8,2,2,1,1,3,3,0,1,8,1500000
starrocks,tpc-h,q3,2,1,1,2,2,3,2,0,0,1,1,2,2,0,3,6,1639941
starrocks,tpc-h,q4,1,0,1,1,1,2,4,1,1,1,0,3,2,0,1,6,3000608
starrocks,tpc-h,q5,5,5,0,5,8,6,4,1,1,1,5,1,2,0,2,9,5401094
starrocks,tpc-h,q6,0,0,0,0,0,2,4,1,1,0,0,0,1,1,1,3,1
starrocks,tpc-h,q7,5,4,1,5,8,6,4,1,1,1,4,3,2,0,3,10,1350000
starrocks,tpc-h,q8,7,7,0,7,8,8,4,1,1,1,7,1,2,0,3,11,4860984
starrocks,tpc-h,q9,5,3,2,5,6,6,4,1,1,1,3,5,2,0,0,11,4860984
starrocks,tpc-ds,q1,4,3,1,4,5,4,8,2,2,1,3,6,2,0,2,11,232886
starrocks,tpc-ds,q10,7,4,2,7,7,9,4,1,1,2,4,6,2,0,4,15,2513323
starrocks,tpc-ds,q11,7,3,3,7,10,6,8,2,2,1,3,13,2,0,2,18,2592364
starrocks,tpc-ds,q12,2,2,0,2,1,3,4,1,1,2,2,2,2,0,2,7,647446
starrocks,tpc-ds,q13,5,4,1,5,2,6,4,1,1,0,4,2,1,0,5,9,2880404
starrocks,tpc-ds,q14.s1,22,19,0,19,16,25,24,6,6,1,22,16,6,0,9,48,4458162
starrocks,tpc-ds,q14.s2,21,18,0,19,16,24,12,3,3,1,20,9,7,0,8,38,4458162
starrocks,tpc-ds,q15,3,1,2,3,2,4,4,1,1,2,1,5,2,0,1,9,1297393
starrocks,tpc-ds,q16,5,4,1,4,2,6,8,2,1,1,4,3,3,0,3,11,1297393
starrocks,tpc-ds,q17,7,6,1,7,6,8,4,1,1,2,6,3,2,0,3,12,2099815
starrocks,tpc-ds,q18,6,4,2,6,6,7,4,1,1,2,4,5,2,0,4,12,9604000
starrocks,tpc-ds,q19,5,5,0,5,3,6,4,1,1,1,5,1,2,0,2,9,2513323
starrocks,tpc-ds,q2,4,3,1,4,8,5,4,1,1,1,3,5,2,0,2,12,1944839
starrocks,tpc-ds,q20,2,2,0,2,1,3,4,1,1,2,2,2,2,0,2,7,1297393
starrocks,tpc-ds,q21,3,3,0,3,1,4,4,1,1,1,3,1,2,0,2,7,10570500
starrocks,tpc-ds,q22,2,2,0,2,1,3,4,1,1,1,2,1,2,0,1,6,52852500
starrocks,tpc-ds,q23.s1,12,8,3,11,7,12,20,5,5,0,9,13,2,0,4,26,2592364
starrocks,tpc-ds,q23.s2,14,10,3,13,12,14,24,6,6,3,11,15,7,0,4,32,2592364
starrocks,tpc-ds,q24.s1,6,5,0,5,7,6,12,3,3,1,6,4,3,0,1,13,2333127
starrocks,tpc-ds,q24.s2,6,5,0,5,7,6,12,3,3,1,6,4,3,0,1,13,2333127
starrocks,tpc-ds,q25,7,6,1,7,6,8,4,1,1,2,6,3,2,0,3,12,2099815
starrocks,tpc-ds,q26,4,3,1,4,2,5,4,1,1,2,3,3,2,0,2,9,1920800
starrocks,tpc-ds,q27,4,3,1,4,2,5,4,1,1,2,3,3,2,0,3,9,7777091
starrocks,tpc-ds,q28,5,0,0,0,0,6,48,12,6,0,5,6,6,0,6,19,416308
starrocks,tpc-ds,q29,7,6,1,7,6,8,4,1,1,2,6,3,2,0,3,12,2099815
starrocks,tpc-ds,q3,2,2,0,2,1,3,4,1,1,1,2,1,2,0,2,6,2513323
starrocks,tpc-ds,q30,5,4,1,6,5,5,8,2,2,1,4,6,2,0,2,12,81000
starrocks,tpc-ds,q31,9,4,2,9,9,6,8,2,2,1,4,15,2,0,2,18,2513323
starrocks,tpc-ds,q32,4,2,0,4,4,5,8,2,2,0,2,3,1,0,3,8,1297393
starrocks,tpc-ds,q33,12,9,3,12,6,15,16,4,4,1,9,10,2,0,9,25,2513323
starrocks,tpc-ds,q34,4,4,0,4,2,5,4,1,1,1,4,1,2,0,3,8,2513323
starrocks,tpc-ds,q35,7,4,2,7,7,9,4,1,1,2,4,6,2,0,3,15,2513323
starrocks,tpc-ds,q36,3,3,0,3,1,4,4,1,1,2,3,2,2,0,2,8,7539969
starrocks,tpc-ds,q37,3,1,1,3,4,4,2,1,1,2,1,4,2,0,3,8,2936250
starrocks,tpc-ds,q38,6,3,3,6,3,9,10,4,4,0,3,12,1,0,3,18,2513323
starrocks,tpc-ds,q39.s1,4,3,1,4,2,4,4,1,1,1,3,5,2,0,1,10,10570500
starrocks,tpc-ds,q39.s2,4,3,1,4,2,4,4,1,1,1,3,5,2,0,1,10,10570500
starrocks,tpc-ds,q4,11,3,5,11,16,9,12,3,3,1,3,22,2,0,3,26,2592364
starrocks,tpc-ds,q40,4,4,0,3,3,5,4,1,1,2,4,1,2,0,2,8,1297393
starrocks,tpc-ds,q41,1,1,0,2,1,2,6,2,2,2,1,2,2,0,2,6,4500
starrocks,tpc-ds,q42,2,2,0,2,1,3,4,1,1,1,2,1,2,0,2,6,2513323
starrocks,tpc-ds,q43,2,2,0,2,1,3,4,1,1,1,2,1,2,0,2,6,2513323
starrocks,tpc-ds,q44,5,1,2,3,3,6,16,4,4,3,3,8,8,0,4,18,1440202
starrocks,tpc-ds,q45,6,4,1,4,3,6,10,3,3,2,5,6,3,0,2,14,647446
starrocks,tpc-ds,q46,6,6,0,6,4,7,4,1,1,1,6,1,2,0,2,10,2592364
starrocks,tpc-ds,q47,5,3,1,5,5,4,4,1,1,2,3,8,2,0,1,12,2592364
starrocks,tpc-ds,q48,4,3,1,4,3,5,4,1,1,0,3,2,1,0,4,8,2880404
starrocks,tpc-ds,q49,6,3,3,6,3,9,14,4,4,8,3,10,8,0,9,22,360051
starrocks,tpc-ds,q5,7,6,1,7,14,13,16,4,4,1,6,6,2,0,3,24,4174476
starrocks,tpc-ds,q50,4,4,0,4,2,5,4,1,1,2,4,1,2,0,1,8,2099815
starrocks,tpc-ds,q51,3,2,1,2,2,4,8,2,2,4,2,7,2,0,2,12,2592364
starrocks,tpc-ds,q52,2,2,0,2,1,3,4,1,1,1,2,1,2,0,2,6,2513323
starrocks,tpc-ds,q53,3,3,0,3,1,4,4,1,1,2,3,2,2,0,2,8,2592364
starrocks,tpc-ds,q54,9,5,1,7,9,11,11,3,3,1,7,6,4,0,4,20,2592364
starrocks,tpc-ds,q55,2,2,0,2,1,3,4,1,1,1,2,1,2,0,2,6,2513323
starrocks,tpc-ds,q56,12,9,3,12,6,15,16,4,4,1,9,10,2,0,9,25,2513323
starrocks,tpc-ds,q57,5,3,1,5,5,4,4,1,1,2,3,8,2,0,1,12,1297393
starrocks,tpc-ds,q58,14,12,0,14,16,15,12,3,3,1,12,3,5,0,3,21,2592364
starrocks,tpc-ds,q59,7,6,1,7,8,8,8,2,2,1,6,4,2,0,2,13,2513323
starrocks,tpc-ds,q6,6,6,0,6,6,7,10,3,3,1,6,3,3,0,1,13,2592364
starrocks,tpc-ds,q60,12,9,3,12,6,15,16,4,4,1,9,10,2,0,9,25,2513323
starrocks,tpc-ds,q61,12,11,0,11,6,13,8,2,2,1,12,0,4,0,8,17,2592364
starrocks,tpc-ds,q62,4,4,0,4,1,5,4,1,1,2,4,1,2,0,1,8,647446
starrocks,tpc-ds,q63,3,3,0,3,1,4,4,1,1,2,3,2,2,0,2,8,2592364
starrocks,tpc-ds,q64,19,15,4,19,15,19,8,2,2,1,15,12,2,0,2,29,2333127
starrocks,tpc-ds,q65,5,4,0,5,4,6,12,3,3,1,4,4,2,0,2,11,2592364
starrocks,tpc-ds,q66,8,8,0,8,2,10,12,3,3,2,8,3,2,0,6,16,1297393
starrocks,tpc-ds,q67,3,3,0,3,1,4,8,2,2,3,3,5,2,0,1,12,9952415
starrocks,tpc-ds,q68,6,6,0,6,4,7,4,1,1,1,6,1,2,0,2,10,2592364
starrocks,tpc-ds,q69,8,4,2,6,5,9,4,1,1,2,4,7,2,0,4,14,2513323
starrocks,tpc-ds,q7,4,3,1,4,2,5,4,1,1,2,3,3,2,0,2,9,2592364
starrocks,tpc-ds,q70,5,3,1,5,3,6,8,2,2,4,3,6,2,0,2,12,7539969
starrocks,tpc-ds,q71,5,5,0,5,6,8,4,1,1,1,5,1,2,0,5,12,4537202
starrocks,tpc-ds,q72,10,8,2,8,6,11,4,1,1,1,8,5,2,0,3,16,10570500
starrocks,tpc-ds,q73,4,4,0,4,2,5,4,1,1,1,4,1,2,0,3,8,2513323
starrocks,tpc-ds,q74,7,3,3,7,10,6,8,2,2,1,3,13,2,0,2,18,2592364
starrocks,tpc-ds,q75,10,9,1,7,4,12,6,2,2,1,9,6,2,0,6,20,4537202
starrocks,tpc-ds,q76,6,2,4,6,6,9,4,1,1,2,2,9,2,0,0,17,497939
starrocks,tpc-ds,q77,13,6,4,10,6,16,20,3,3,2,7,11,2,0,6,24,31543693988
starrocks,tpc-ds,q78,8,6,0,3,3,9,12,3,3,1,6,3,2,0,3,12,2513323
starrocks,tpc-ds,q79,4,4,0,4,2,5,4,1,1,1,4,1,2,0,2,8,2592364
starrocks,tpc-ds,q8,4,3,1,4,3,6,8,2,2,2,3,6,2,0,2,12,2513323
starrocks,tpc-ds,q80,15,15,0,12,3,18,16,4,4,1,15,4,2,0,9,25,3343621
starrocks,tpc-ds,q81,5,2,3,5,5,5,8,2,2,1,2,10,2,0,2,14,129660
starrocks,tpc-ds,q82,3,1,1,3,4,4,2,1,1,2,1,4,2,0,3,8,2936250
starrocks,tpc-ds,q83,14,6,6,14,16,15,12,3,3,1,6,15,2,0,3,24,258763
starrocks,tpc-ds,q84,5,3,1,5,8,6,0,0,0,1,3,3,2,0,2,9,1728720
starrocks,tpc-ds,q85,7,5,2,7,9,8,4,1,1,1,5,5,2,0,5,13,1920800
starrocks,tpc-ds,q86,2,2,0,2,1,3,4,1,1,2,2,2,2,0,1,7,1942337
starrocks,tpc-ds,q87,6,3,3,6,3,9,10,4,4,0,3,12,1,0,3,18,2513323
starrocks,tpc-ds,q88,31,24,0,24,8,32,32,8,8,0,31,0,8,0,24,41,2592364
starrocks,tpc-ds,q89,3,3,0,3,1,4,4,1,1,2,3,2,2,0,2,8,2592364
starrocks,tpc-ds,q9,15,0,0,0,0,16,60,15,15,0,15,0,15,0,16,33,720101
starrocks,tpc-ds,q90,7,6,0,6,2,8,8,2,2,1,7,0,4,0,6,12,647446
starrocks,tpc-ds,q91,6,6,0,6,5,7,4,1,1,1,6,1,2,0,3,10,1920800
starrocks,tpc-ds,q92,4,2,0,4,4,5,8,2,2,1,2,3,3,0,3,9,647446
starrocks,tpc-ds,q93,2,2,0,2,2,3,4,1,1,1,2,1,2,0,1,6,2333127
starrocks,tpc-ds,q94,5,4,1,4,2,6,8,2,1,1,4,3,3,0,3,11,647446
starrocks,tpc-ds,q95,7,3,3,7,6,7,8,2,1,1,3,9,3,0,3,15,647446
starrocks,tpc-ds,q96,3,3,0,3,1,4,4,1,1,1,3,0,3,0,3,7,2592364
starrocks,tpc-ds,q97,3,2,0,2,2,4,8,3,3,0,2,2,1,0,2,7,2513323
starrocks,tpc-ds,q98,2,2,0,2,1,3,4,1,1,2,2,2,2,0,2,7,2592364
starrocks,tpc-ds,q99,4,4,0,4,1,5,4,1,1,2,4,1,2,0,1,8,1297393
novarocks,ssb,q1.1,1,1,0,1,1,2,2,1,1,0,1,0,1,0,2,0,1047584
novarocks,ssb,q1.2,1,1,0,1,1,2,2,1,1,0,1,0,1,0,2,0,964474
novarocks,ssb,q1.3,1,1,0,1,1,2,2,1,1,0,1,0,1,0,2,0,944791
novarocks,ssb,q2.1,3,3,0,3,1,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q2.2,3,3,0,3,1,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q2.3,3,3,0,3,1,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q3.1,3,3,0,3,1,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q3.2,3,3,0,3,1,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q3.3,3,3,0,3,2,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q3.4,3,3,0,3,2,4,2,1,1,1,3,1,1,0,4,0,4374854
novarocks,ssb,q4.1,4,4,0,4,1,5,2,1,1,1,4,1,1,0,5,0,3937368
novarocks,ssb,q4.2,4,4,0,4,1,5,2,1,1,1,4,1,1,0,5,0,3937368
novarocks,ssb,q4.3,4,4,0,4,1,5,2,1,1,1,4,1,1,0,5,0,3937368
novarocks,tpc-h,q1,0,0,0,0,0,1,2,1,1,1,0,1,1,0,1,0,5941203
novarocks,tpc-h,q10,3,2,1,2,2,4,2,1,1,2,2,3,0,0,4,0,1350273
novarocks,tpc-h,q11,4,4,0,4,2,6,4,2,2,1,4,1,2,0,6,0,720000
novarocks,tpc-h,q12,1,1,0,1,1,2,2,1,1,1,1,1,1,0,2,0,1350000
novarocks,tpc-h,q13,1,0,1,0,0,2,4,2,2,1,0,4,1,0,2,0,1500000
novarocks,tpc-h,q14,1,1,0,1,1,2,2,1,1,0,1,0,1,0,2,0,1068308
novarocks,tpc-h,q15,2,2,0,2,2,3,6,3,3,1,2,2,2,0,3,0,1609580
novarocks,tpc-h,q16,2,2,0,1,1,3,1,0,0,1,2,0,1,0,3,0,720000
novarocks,tpc-h,q17,1,1,0,1,1,2,2,1,1,1,1,1,1,0,0,0,5401094
novarocks,tpc-h,q18,3,1,2,2,1,4,4,2,2,2,1,5,0,0,4,0,6001215
novarocks,tpc-h,q19,1,1,0,1,1,2,2,1,1,0,1,0,1,0,2,0,1174001
novarocks,tpc-h,q2,4,4,0,4,3,5,0,0,0,3,4,1,0,0,0,0,648000
novarocks,tpc-h,q20,4,3,1,3,2,5,2,1,1,1,3,2,1,0,5,0,1484889
novarocks,tpc-h,q21,5,3,2,3,2,6,2,1,1,2,3,5,0,0,6,0,5401094
novarocks,tpc-h,q22,1,0,1,0,0,3,4,2,2,1,0,3,3,0,3,0,1500000
novarocks,tpc-h,q3,2,2,0,2,2,3,2,1,1,2,2,1,0,0,3,0,2911243
novarocks,tpc-h,q4,1,0,1,0,0,2,2,1,1,1,0,3,1,0,2,0,2700547
