suite,case,step,planning_sec,execution_sec,rows,result_path
ssb,q1.1,1,0.0516,2.35,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.2,1,0.0403,2.62,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.3,1,0.0434,3.03,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q2.1,1,0.2403,4.06,280,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.1.result
ssb,q2.2,1,0.1505,2.68,56,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.2.result
ssb,q2.3,1,0.1394,2.83,7,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.3.result
ssb,q3.1,1,0.1664,3.95,150,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.1.result
ssb,q3.2,1,0.168,4.26,596,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.2.result
ssb,q3.3,1,0.1703,4.1,24,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.3.result
ssb,q3.4,1,0.1463,3.68,3,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q3.4.result
ssb,q4.1,1,0.2009,5.87,35,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.1.result
ssb,q4.2,1,0.2161,4.62,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
ssb,q4.3,1,0.2146,4.27,330,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
tpc-ds,q1,1,0.0722,0.4312,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q10,1,0.4022,4.91,5,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
tpc-ds,q11,1,0.2864,5.39,88,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q11.result
tpc-ds,q12,1,0.2134,5.98,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q12.result
tpc-ds,q13,1,0.233,6.92,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q14,1,1.26,19.92,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q14,2,1.45,17.21,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q14.result
tpc-ds,q15,1,0.2143,3.34,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q15.result
tpc-ds,q16,1,0.409,5.14,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q16.result
tpc-ds,q17,1,0.6685,9.53,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q17.result
tpc-ds,q18,1,0.4351,5.42,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q18.result
tpc-ds,q19,1,0.2823,4.02,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q19.result
tpc-ds,q2,1,0.1516,2.34,2513,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q2.result
tpc-ds,q20,1,0.2066,14.3,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q20.result
tpc-ds,q21,1,0.0705,1.14,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q21.result
tpc-ds,q22,1,0.0505,1.34,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q22.result
tpc-ds,q23,1,0.5571,14.78,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q23,2,0.7168,16.08,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q23.result
tpc-ds,q24,1,0.2904,4.82,3,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q24,2,0.2948,5.24,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q24.result
tpc-ds,q25,1,0.7062,7.97,1,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q25.result
tpc-ds,q26,1,0.2946,4.67,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q26.result
tpc-ds,q27,1,0.2178,7.3,100,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q27.result
