suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,gather_exchange_sr,gather_exchange_nr,max_est_rows_sr,max_est_rows_nr,plan_gap_tags
tpc-h,q18,91.26,3,3,1,0,1,3,3,2,3,0,4,4,8,4,5,7,1,0,2,1,5401094,6001215,rf_probe_less(-3);rf_build_less(-1);agg_count_less(-4)
tpc-ds,q14.s1,39.85,22,22,19,15,0,4,19,18,16,15,25,25,24,9,16,13,22,0,6,23,4458162,4903874,shuffle_less(-3);rf_probe_less(-1);rf_build_less(-1);agg_count_less(-15)
tpc-ds,q14.s2,39.85,21,21,18,16,0,3,19,18,16,16,24,24,12,4,9,8,20,0,7,23,4458162,4903874,shuffle_less(-1);rf_build_less(-1);agg_count_less(-8)
tpc-ds,q23.s1,32.14,12,12,8,10,3,1,11,10,7,10,12,12,20,10,13,5,9,0,2,13,2592364,2750652,broadcast_more(+2);partitioned_less(-2);shuffle_less(-8);rf_build_less(-1);agg_count_less(-10)
tpc-ds,q23.s2,32.14,14,14,10,13,3,0,13,13,12,13,14,14,24,12,15,5,11,0,7,18,2592364,2750652,broadcast_more(+3);partitioned_less(-3);shuffle_less(-10);agg_count_less(-12)
tpc-ds,q64,31.64,19,19,15,17,4,2,19,21,15,12,19,19,8,4,12,6,15,0,2,18,2333127,1728720,broadcast_more(+2);partitioned_less(-2);shuffle_less(-6);rf_probe_less(-3);agg_count_less(-4)
tpc-h,q9,24.40,5,5,3,5,2,0,5,6,6,4,6,6,4,2,5,1,3,0,2,6,4860984,41364136,broadcast_more(+2);partitioned_less(-2);shuffle_less(-4);rf_probe_less(-2);agg_count_less(-2)
tpc-ds,q88,22.14,31,31,24,24,0,0,24,24,8,24,32,32,32,16,0,0,31,0,8,32,2592364,2508180,agg_count_less(-16)
tpc-ds,q9,20.82,15,15,0,0,0,0,0,0,0,0,16,16,60,30,0,0,15,0,15,16,720101,1058000,agg_count_less(-30)
tpc-ds,q28,19.67,5,5,0,0,0,0,0,0,0,0,6,6,48,24,6,6,5,0,6,6,416308,445717,agg_count_less(-24)
tpc-ds,q51,16.17,3,3,2,2,1,1,2,2,2,2,4,4,8,4,7,7,2,0,2,3,2592364,2475280,agg_count_less(-4)
tpc-ds,q20,14.51,2,2,2,2,0,0,2,2,1,2,3,3,4,2,2,2,2,0,2,3,1297393,1290931,agg_count_less(-2)
tpc-ds,q98,14.05,2,2,2,2,0,0,2,2,1,2,3,3,4,2,2,2,2,0,2,3,2592364,2475280,agg_count_less(-2)
tpc-ds,q70,13.80,5,5,3,5,1,0,5,5,3,4,6,6,8,4,6,2,3,0,2,6,7539969,7878450,broadcast_more(+2);partitioned_less(-1);shuffle_less(-4);agg_count_less(-4)
tpc-ds,q75,13.39,10,10,9,8,1,2,7,10,4,6,12,12,6,3,6,7,9,0,2,12,4537202,2475280,agg_count_less(-3)
tpc-ds,q57,12.77,5,5,3,5,1,0,5,11,5,3,4,4,4,2,8,3,3,0,2,6,1297393,1284555,broadcast_more(+2);partitioned_less(-1);shuffle_less(-5);rf_probe_less(-2);agg_count_less(-2)
tpc-ds,q63,12.63,3,3,3,3,0,0,3,3,1,3,4,4,4,2,2,2,3,0,2,4,2592364,2363535,agg_count_less(-2)
tpc-ds,q89,12.53,3,3,3,3,0,0,3,3,1,3,4,4,4,2,2,2,3,0,2,4,2592364,2363535,agg_count_less(-2)
tpc-ds,q47,12.39,5,5,3,5,1,0,5,13,5,3,4,4,4,2,8,3,3,0,2,6,2592364,2363535,broadcast_more(+2);partitioned_less(-1);shuffle_less(-5);rf_probe_less(-2);agg_count_less(-2)
tpc-ds,q53,12.25,3,3,3,3,0,0,3,3,1,3,4,4,4,2,2,2,3,0,2,4,2592364,2363535,agg_count_less(-2)
tpc-ds,q78,11.66,8,8,6,8,0,0,3,3,3,0,9,9,12,6,3,3,6,0,2,9,2513323,2880404,broadcast_more(+2);rf_probe_less(-3);agg_count_less(-6)
tpc-h,q21,10.80,5,5,2,3,1,2,4,3,7,2,6,6,4,2,5,5,2,0,2,4,5401094,5401094,broadcast_more(+1);rf_probe_less(-5);rf_build_less(-1);agg_count_less(-2)
tpc-ds,q24.s1,10.65,6,6,5,5,0,0,5,7,7,7,6,6,12,5,4,1,6,0,3,7,2333127,2127445,shuffle_less(-3);agg_count_less(-7)
tpc-ds,q24.s2,10.65,6,6,5,5,0,0,5,7,7,7,6,6,12,5,4,1,6,0,3,7,2333127,2127445,shuffle_less(-3);agg_count_less(-7)
tpc-ds,q29,10.22,7,7,6,7,1,0,7,10,6,10,8,8,4,2,3,1,6,0,2,8,2099815,2031359,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q17,10.20,7,7,6,7,1,0,7,10,6,10,8,8,4,1,3,0,6,0,2,8,2099815,2031359,broadcast_more(+1);partitioned_less(-1);shuffle_less(-3);agg_count_less(-3)
tpc-ds,q80,10.05,15,15,15,15,0,0,12,12,3,0,18,18,16,8,4,4,15,0,2,16,3343621,2257286,rf_probe_less(-3);agg_count_less(-8)
tpc-ds,q4,9.15,11,11,3,11,5,0,11,11,16,6,9,9,12,6,22,3,3,0,2,12,2592364,4749109,broadcast_more(+8);partitioned_less(-5);shuffle_less(-19);rf_probe_less(-10);agg_count_less(-6)
tpc-ds,q25,8.68,7,7,6,6,1,1,7,7,6,7,8,8,4,2,3,3,6,0,2,7,2099815,2031359,agg_count_less(-2)
tpc-h,q17,8.55,1,1,0,1,1,0,1,1,1,1,2,2,4,2,2,1,0,0,1,2,5401094,5401094,broadcast_more(+1);partitioned_less(-1);shuffle_less(-1);agg_count_less(-2)
tpc-ds,q44,8.32,5,5,1,3,2,0,3,3,3,2,6,6,16,8,8,4,3,0,8,8,1440202,480067,broadcast_more(+2);partitioned_less(-2);shuffle_less(-4);rf_probe_less(-1);agg_count_less(-8)
tpc-ds,q49,8.10,6,6,3,5,3,1,6,3,3,0,9,9,14,8,10,8,3,0,8,11,360051,1394359,broadcast_more(+2);partitioned_less(-2);shuffle_less(-2);rf_probe_less(-3);rf_build_less(-3);agg_count_less(-6)
tpc-ds,q61,7.92,12,12,11,10,0,1,11,10,6,9,13,13,8,4,0,2,12,0,4,12,2592364,2257066,rf_build_less(-1);agg_count_less(-4)
tpc-ds,q54,7.90,9,9,5,7,1,0,7,8,9,6,11,11,11,5,6,0,7,0,4,11,2592364,2626419,broadcast_more(+2);partitioned_less(-1);shuffle_less(-6);rf_probe_less(-3);agg_count_less(-6)
