suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,sort_topn_sr,sort_topn_nr,max_card_rows_sr,max_card_rows_nr,gap_tags
tpc-h,q18,91.26,3,3,1,0,2,3,5,7,1,0,3,2,4,0,4,4,4,4,2,1,0,6001215,RFProbe更少(-4);RFBuild更少(-1)
tpc-ds,q14.s1,39.85,19,22,19,15,0,5,18,16,22,5,21,18,27,15,25,25,12,9,1,1,0,4903874,ShuffleExchange更少(-2);RFProbe更少(-12);RFBuild更少(-3);Agg节点更少(-3)
tpc-ds,q14.s2,39.85,19,21,18,16,1,3,9,10,19,2,23,18,30,16,24,24,6,4,1,1,0,4903874,RFProbe更少(-14);RFBuild更少(-5);Agg节点更少(-2)
tpc-ds,q23.s1,32.14,11,12,8,10,3,2,15,7,9,4,11,10,12,10,12,12,10,10,0,0,0,2750652,BroadcastJoin更多(+2);PartitionedJoin更少(-1);ShuffleExchange更少(-8);RFProbe更少(-2);RFBuild更少(-1)
tpc-ds,q23.s2,32.14,13,14,10,13,3,0,16,5,11,0,13,13,20,13,14,14,12,12,3,3,0,2750652,BroadcastJoin更多(+3);PartitionedJoin更少(-3);ShuffleExchange更少(-11);RFProbe更少(-7)
tpc-ds,q64,31.64,19,19,15,17,4,2,13,6,15,1,23,21,45,12,19,19,4,4,1,1,0,1728720,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-7);RFProbe更少(-33);RFBuild更少(-2)
tpc-h,q9,24.40,5,5,3,5,2,0,6,1,3,1,6,6,13,4,6,6,2,2,1,1,0,41364136,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-5);RFProbe更少(-9)
tpc-ds,q88,22.14,24,31,24,24,0,0,6,0,31,0,24,24,24,24,32,32,16,16,0,0,0,2508180,ShuffleExchange更少(-6)
tpc-ds,q9,20.82,0,15,0,0,0,0,0,0,15,0,0,0,0,0,16,16,30,30,0,0,0,1058000,
tpc-ds,q28,19.67,0,5,0,0,0,0,15,6,5,0,0,0,0,0,6,6,24,24,0,0,0,445717,ShuffleExchange更少(-9)
tpc-ds,q51,16.17,3,3,2,2,1,1,7,7,2,0,2,2,2,2,4,4,4,4,4,4,0,2475280,
