suite,case,step,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
tpc-h,q18,1,9,"HASH JOIN (PARTITIONED, INNER, eq: [l_orderkey = o_orderkey])",13502430,44.8s,44.8,607.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q18.result
tpc-h,q18,1,18,"HASH JOIN (PARTITIONED, LEFT SEMI, eq: [o_orderkey = lineitem.l_orderkey])",6001287,32.0s,32,82.5KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q18.result
tpc-h,q18,1,7,"HASH JOIN (PARTITIONED, INNER, eq: [o_custkey = c_custkey])",3150000,3.2s,3.2,57.6MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q18.result
tpc-ds,q75,1,27,UNION ALL,819316,2.1s,2.1,6.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q75.result
tpc-ds,q75,1,25,"PROJECT [d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, ss_quantity - coalesce(sr_return_quantity, 0) AS sales_cnt, ss_ext_sales_price - coalesce(sr_return_amt, 0.0) AS sales_amt]",269449,2.1s,2.1,12.3MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q75.result
tpc-ds,q64,1,24,"HASH JOIN (BROADCAST, INNER, eq: [c_first_shipto_date_sk = d3.d_date_sk])",312601,2.0s,2,53.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q64.result
tpc-h,q9,1,8,"HASH JOIN (BROADCAST, INNER, eq: [l_suppkey = ps_suppkey, l_partkey = p_partkey])",455759,2.0s,2,85.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q9.result
tpc-ds,q81,1,49,NEST LOOP JOIN (CROSS),67906697,1.8s,1.8,1018.8KB,12,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q81.result
tpc-h,q9,1,17,"PROJECT [n_name AS nation, year(o_orderdate) AS o_year, l_extendedprice * 1 - l_discount - ps_supplycost * l_quantity AS amount]",325847,1.8s,1.8,13.0KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q9.result
tpc-ds,q75,1,12,"PROJECT [d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, cs_quantity - coalesce(cr_return_quantity, 0) AS sales_cnt, cs_ext_sales_price - coalesce(cr_return_amount, 0.0) AS sales_amt]",140209,1.5s,1.5,11.5MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q75.result
tpc-h,q9,1,10,"HASH JOIN (BROADCAST, INNER, eq: [o_orderkey = l_orderkey])",1303388,1.4s,1.4,1.7GB,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q9.result
tpc-ds,q13,1,14,"PROJECT [ss_sold_date_sk, ss_cdemo_sk, ss_hdemo_sk, ss_addr_sk, ss_store_sk, ss_quantity, ss_sales_price, ss_ext_sales_price, ss_ext_wholesale_cost, ss_net_profit, hd_demo_sk, hd_dep_count, ca_address_sk, ca_state, ca_country, hd_dep_count = 1 AS __cse_0, ss_sales_price BETWEEN 100.00 AND 150.00 AS __cse_1, ss_sales_price BETWEEN 50.00 AND 100.00 AS __cse_2, ss_sales_price BETWEEN 150.00 AND 200.00 AS __cse_3]",8751,1.1s,1.1,50.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q13.result
tpc-ds,q75,1,29,"HASH AGGREGATE (SINGLE, group by: [d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, sales_cnt, sales_amt])",1226766,996.6ms,0.9966,66.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q75.result
tpc-ds,q64,1,26,"HASH JOIN (BROADCAST, INNER, eq: [ss_customer_sk = c_customer_sk])",701577,909.8ms,0.9098,1.4GB,12,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q64.result
tpc-ds,q81,1,52,"HASH JOIN (BROADCAST, INNER, eq: [ca_address_sk = c_current_addr_sk, ctr1.ctr_customer_sk = c_customer_sk])",101320,898.4ms,0.8984,27.8MB,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q81.result
tpc-h,q8,1,16,"HASH JOIN (PARTITIONED, INNER, eq: [o_custkey = c_custkey])",577655,887.4ms,0.8874,33.2MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q8.result
tpc-h,q8,1,18,"HASH JOIN (PARTITIONED, INNER, eq: [l_orderkey = o_orderkey])",136864,822.9ms,0.8229,57.0MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q8.result
tpc-h,q10,1,13,"HASH AGGREGATE (LOCAL, group by: [c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment])",159879,819.6ms,0.8196,33.0MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q10.result
tpc-ds,q4,1,8,"HASH AGGREGATE (LOCAL, group by: [customer_id, customer_first_name, customer_last_name, customer_preferred_cust_flag, customer_birth_country, customer_login, customer_email_address, dyear])",2914236,770.5ms,0.7705,95.7MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q4.result
tpc-ds,q78,1,47,"HASH JOIN (BROADCAST, LEFT OUTER, eq: [ss_sold_year = cs_sold_year, ss_item_sk = cs_item_sk, ss_customer_sk = cs_customer_sk])",4365768,691.8ms,0.6918,458.5MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q78.result
tpc-ds,q72,1,19,"HASH JOIN (BROADCAST, INNER, eq: [cs_bill_cdemo_sk = cd_demo_sk])",1154560,687.9ms,0.6879,215.2MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q72.result
tpc-h,q10,1,9,"HASH JOIN (PARTITIONED, INNER, eq: [l_orderkey = o_orderkey])",1650881,676.0ms,0.676,32.9MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q10.result
tpc-h,q18,1,10,HASH EXCHANGE,6001215,625.7ms,0.6257,0B,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-h/q18.result
