suite,case,step,rank_in_query,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
ssb,q1.1,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",120237,7.5ms,0.0075,5.7MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.1,1,2,1,SCAN ssb.lineorder,785941,924.7us,0.0009247,0B,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.1,1,3,5,HASH AGGREGATE (LOCAL),12,318.2us,0.0003182,3.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.1,1,4,7,HASH AGGREGATE (GLOBAL),13,127.2us,0.0001272,64.2KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.1,1,5,2,SCAN ssb.dates,365,41.6us,4.16e-05,211.5KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.1.result
ssb,q1.2,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",4380,1.2ms,0.0012,4.3MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.2,1,2,1,SCAN ssb.lineorder,327924,152.3us,0.0001523,0B,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.2,1,3,7,HASH AGGREGATE (GLOBAL),13,103.0us,0.000103,64.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.2,1,4,2,SCAN ssb.dates,31,44.8us,4.48e-05,21.0KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.2,1,5,5,HASH AGGREGATE (LOCAL),12,39.3us,3.93e-05,1.1MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.2.result
ssb,q1.3,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",930,2.7ms,0.0027,3.4MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q1.3,1,2,7,HASH AGGREGATE (GLOBAL),13,237.2us,0.0002372,64.4KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q1.3,1,3,1,SCAN ssb.lineorder,328056,85.8us,8.58e-05,0B,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q1.3,1,4,5,HASH AGGREGATE (LOCAL),12,65.6us,6.56e-05,915.3KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q1.3,1,5,8,PROJECT [sum(lo_revenue) AS revenue],1,63.7us,6.37e-05,8.0KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q1.3.result
ssb,q2.1,1,1,11,"HASH AGGREGATE (LOCAL, group by: [d_year, p_brand])",45415,275.1ms,0.2751,1.8MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.1.result
ssb,q2.1,1,2,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",6008839,176.4ms,0.1764,12.6MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.1.result
ssb,q2.1,1,3,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",260465,167.2ms,0.1672,18.9MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.1.result
ssb,q2.1,1,4,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",45709,156.6ms,0.1566,444.9KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q2.1.result
