# generated by novarocks-error-manifest; do not edit.
schema_version=1
code	phase	status
sql.lex.unexpected_character	Lex	Active
sql.lex.unterminated_comment	Lex	Active
sql.lex.unterminated_quoted_identifier	Lex	Active
sql.lex.unterminated_string	Lex	Active
sql.parse.unexpected_token	Parse	Active
sql.parse.unsupported_statement	Parse	Active
sql.validate.duplicate_cte_name	Validate	Active
sql.validate.duplicate_window_name	Validate	Active
sql.validate.invalid_structure	Validate	Active
sql.validate.invalid_window_frame_bounds	Validate	Active
